"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x980086351","x1072608343519318016","2018-12-11 21:45:31+00","KVB_Info","Linie 4 * Folgende Fahrt entfällt * (H) Bocklemünd 22:52h - (H) Äußere Kanalstr. 22:57h - (H) Venloer Str. 22:59h - (H) Friesenplatz 23:05h - (H) Neumarkt 23:09h - (H) BF Deutz/LANXESS arena 23:16h - (H) Stegerwaldsiedlung 13:20h - (H) Wiener Platz... https://t.co/czM5W7dv2g","MOFIS Tweets","f","koeln","train"
"x980086351","x1072608342344904704","2018-12-11 21:45:31+00","KVB_Info","Linie 7 * Folgende Fahrt entfällt * (H) Zündorf 22:51h - (H) Porz Markt 22:55h - (H) Gilgaustr. 23:00h - (H) Salmstr. 23:06h - (H) Deutzer Freiheit 23:14h - (H) Neumarkt 23:19h - (H) Moltkestr. 23:24h - (H) Aachener Str. 23:28h * https://t.co/DRd2C9cNss","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072605093416091648","2018-12-11 21:32:36+00","VbbInfo","#96 Potsdam, Campus Jungfernsee hat 5 Minuten Verspätung https://t.co/2bJrYq31do #BVG 22:32 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072596647941677056","2018-12-11 20:59:03+00","VbbInfo","#S1 S Zehlendorf hat 5 Minuten Verspätung https://t.co/0mGQQojs3z @SBahnBerlin 21:59 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072596642967314432","2018-12-11 20:59:02+00","VbbInfo","#263 Bohnsdorf, Waldstr. hat 26 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:59 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072596645743915008","2018-12-11 20:59:02+00","VbbInfo","#179 Buckow, Gerlinger Str. hat 33 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:59 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072596640396165120","2018-12-11 20:59:01+00","VbbInfo","#739 S Königs Wusterhausen hat 10 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:59 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072595804249092096","2018-12-11 20:55:42+00","VbbInfo","#737 S Königs Wusterhausen hat 11 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:55 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072595026859958272","2018-12-11 20:52:36+00","VbbInfo","#123 S+U Hauptbahnhof hat 10 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:52 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072594196450684928","2018-12-11 20:49:18+00","VbbInfo","#U7 U Britz-Süd hat 6 Minuten Verspätung https://t.co/GjVX1VE7M2 #BVG 21:49 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072593291617677312","2018-12-11 20:45:43+00","VbbInfo","#U5 U Hönow hat 7 Minuten Verspätung https://t.co/GjVX1VE7M2 #BVG 21:45 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072593289503752192","2018-12-11 20:45:42+00","VbbInfo","#S45 S Flughafen Berlin-Schönefeld hat 6 Minuten Verspätung https://t.co/0mGQQojs3z @SBahnBerlin 21:45 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072593287184297984","2018-12-11 20:45:42+00","VbbInfo","#M32 S+U Rathaus Spandau hat 60 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:45 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072592510671839232","2018-12-11 20:42:37+00","VbbInfo","#M10 S+U Hauptbahnhof hat 5 Minuten Verspätung https://t.co/2bJrYq31do #BVG 21:42 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072592489989750784","2018-12-11 20:42:32+00","KVB_Info","Linie 12 * Folgende Fahrt entfällt * (H) Zollstock Südfriedhof 21:42h - (H) Eifelstr. 21:50h - (H) Barbarossaplatz 21:52h - (H) Rudolfplatz 21:55h - (H) Ebertplatz 22:02h - (H) Neusser Str. 22:07h - (H) Wilhelm-Sollmann-Str. 22:12h - (H) Niehl 22:14h -... https://t.co/OM3wz0Ewjn","MOFIS Tweets","f","koeln","train"
"x980086351","x1072591733849030656","2018-12-11 20:39:31+00","KVB_Info","Linie 16 * Folgende Fahrt entfällt * (H) Sebastianstr. 21:38h - (H) Amsterdamer Str. 21:41h - (H) Reichenspergerpl. 21:45h - (H) Ebertplatz 21:48h - (H) Dom/Hbf 21:50h - (H) Neumarkt 21:54h - (H) Barbarossaplatz 21:57h - (H) Eifelstr. 21:59h - (H)... https://t.co/nAMc0ICO7O","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072591679956402176","2018-12-11 20:39:18+00","VbbInfo","#100 S+U Alexanderplatz hat 10 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 21:39 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072591232222855168","2018-12-11 20:37:32+00","KVB_Info","Linie 121 * Folgende Fahrt entfällt * (H) Chorweiler 21:47h - (H) Karl-Marx-Allee 21:49h - (H) Merkenich 21:59h - (H) Langel Fähre 22:08h * https://t.co/pxwEQG3y7A","MOFIS Tweets","f","koeln","train"
"x1224885026","x1072590925883428864","2018-12-11 20:36:19+00","WDR_Verkehr","Aktuell nur noch 1 Stau auf den Autobahnen in #NRW - und der ist auf der A3 #Frankfurt Richtung #Köln zwischen Neustadt (Wied) und Bad Honnef/Linz: Dort 2 km, etwa 10 Minuten Wartezeit. https://t.co/ZCIdP2XUVx https://t.co/pcYyK17yR4","Twitter Web Client","f","koeln","traffic"
"x871704365186375680","x1072590771419865088","2018-12-11 20:35:42+00","VbbInfo","#91 Potsdam, Pirschheide hat 5 Minuten Verspätung https://t.co/2bJrYq31do #BVG 21:35 11.12.18","VBBInfo","f","berlin","train"
