"","vector_cities","vector_average_distance","vector_public_distance","vector_private_distance","vector_unknown_distance"
"1","Berlin",8.78341436379774,8.87312320631377,8.19952380952381,5.53283950617284
"2","Hamburg",8.64874589074631,8.73150153833779,9.64206632653061,5.08895
"3","Frankfurt",4.63100018765247,4.1722622345337,4.19113573407202,0.155
"4","Cologne",8.0752527700831,7.75050173010381,8.65506172839506,0
"5","Munich",9.39427396332317,9.20964578513511,9.96715850986121,8.825
