city;id;type;otype;lat;lon;name;amenity;amenity_specification;amenity2
Cologne;2387126662;node;1;51,0058552;6,9553906;Fordwerke S¸d;tram_stop;stop_position;Tram stop
Cologne;5308411330;node;1;51,0066388;7,0277723;Leimbachweg;bus_stop;platform;Bus Stop
Cologne;1764384272;node;1;51,0066889;6,8717117;Donatusstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;324404287;node;1;51,0067165;7,0272318;Leimbachweg;bus_stop;stop_position;Bus Stop
Cologne;5308411331;node;1;51,0067494;7,0272734;Leimbachweg;bus_stop;stop_position;Bus Stop
Cologne;1764362234;node;1;51,0068243;6,8690407;Escher See;bus_stop;stop_position;Bus Stop
Cologne;1766034212;node;1;51,0069278;6,9297617;Esso;bus_stop;platform;Bus Stop
Cologne;1764362235;node;1;51,0070304;6,8688918;Escher See;bus_stop;stop_position;Bus Stop
Cologne;5310401686;node;1;51,0071051;6,8895376;Unnauer Weg;bus_stop;platform;Bus Stop
Cologne;1383503179;node;1;51,0072053;6,9941039;Flittarder Feld;bus_stop;platform;Bus Stop
Cologne;2130787751;node;1;51,0072327;6,9942185;Flittarder Feld;bus_stop;stop_position;Bus Stop
Cologne;1766034214;node;1;51,0075131;6,9295663;Esso;bus_stop;platform;Bus Stop
Cologne;2130639070;node;1;51,008183;6,9941414;Flittarder Feld;bus_stop;stop_position;Bus Stop
Cologne;5963992626;node;1;51,0082272;6,9942415;Flittarder Feld;bus_stop;platform;Bus Stop
Cologne;1764665123;node;1;51,0105204;6,8959376;Stallagsweg;bus_stop;stop_position;Bus Stop
Cologne;1383503088;node;1;51,0107694;6,9901851;CHEMPARK Tor 10;bus_stop;;Bus Stop
Cologne;3199491127;node;1;51,0109228;6,9899298;CHEMPARK Tor 10;bus_stop;;Bus Stop
Cologne;3199491131;node;1;51,0112734;6,9957044;Chempark S-Bahn;bus_stop;platform;Bus Stop
Cologne;2753966033;node;1;51,0114001;6,9965901;Leverkusen Chempark;halt;station;Train Station
Cologne;3199491132;node;1;51,011409;6,9954375;Chempark S-Bahn;bus_stop;platform;Bus Stop
Cologne;1729144169;node;1;51,011853;6,8620953;Am Braunsacker;bus_stop;stop_position;Bus Stop
Cologne;247386381;node;1;51,0118652;6,9554354;Fordwerke Mitte;tram_stop;stop_position;Tram stop
Cologne;3265759111;node;1;51,0118656;6,9553958;Fordwerke Mitte;tram_stop;stop_position;Tram stop
Cologne;1764678324;node;1;51,0118873;6,9069426;Heimersdorf;bus_stop;platform;Bus Stop
Cologne;4885194088;node;1;51,0119474;6,9067943;Heimersdorf;halt;station;Train Station
Cologne;1726713707;node;1;51,0119785;6,9061665;Heimersdorf;bus_stop;stop_position;Bus Stop
Cologne;264121210;node;1;51,011997;6,9067136;Heimersdorf;tram_stop;stop_position;Tram stop
Cologne;3228554364;node;1;51,0120084;6,9067649;Heimersdorf;tram_stop;stop_position;Tram stop
Cologne;1729144214;node;1;51,0120518;6,857831;Chorbuschstraﬂe;bus_stop;platform;Bus Stop
Cologne;1729144191;node;1;51,0121655;6,8613034;Am Braunsacker;bus_stop;stop_position;Bus Stop
Cologne;1766096665;node;1;51,0125096;6,9079617;Heimersdorf;bus_stop;platform;Bus Stop
Cologne;1764678436;node;1;51,0125438;6,8993446;Zypressenstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1729144248;node;1;51,0126154;6,857645;Chorbuschstraﬂe;bus_stop;platform;Bus Stop
Cologne;5310493208;node;1;51,0129556;6,8587708;Chorbuschstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1766034217;node;1;51,0131309;6,9245929;Paul-Reifenberg-Straﬂe;bus_stop;platform;Bus Stop
Cologne;5310493210;node;1;51,0132234;6,8570873;Chorbuschstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1766034219;node;1;51,0136255;6,9237887;Paul-Reifenberg-Straﬂe;bus_stop;platform;Bus Stop
Cologne;5310499199;node;1;51,013724;6,8552832;Esch;bus_stop;stop_position;Bus Stop
Cologne;5310499197;node;1;51,0139293;6,8543702;Esch;bus_stop;stop_position;Bus Stop
Cologne;4571472769;node;1;51,0140864;6,8932138;Kˆln Volkhovener Weg;halt;station;Train Station
Cologne;1766096640;node;1;51,0141181;6,9123334;Am Hetzepetsch;bus_stop;platform;Bus Stop
Cologne;735336485;node;1;51,0141443;6,8925746;Volkhovener Weg;bus_stop;stop_position;Bus Stop
Cologne;258357466;node;1;51,0141998;6,8924196;Volkhovener Weg;bus_stop;stop_position;Bus Stop
Cologne;1766096662;node;1;51,0144213;6,912778;Am Hetzepetsch;bus_stop;platform;Bus Stop
Cologne;1729144287;node;1;51,0145535;6,8473675;Johannes-Prassel-Straﬂe;bus_stop;stop_position;Bus Stop
Cologne;250633178;node;1;51,0145761;6,8465363;Johannes-Prassel-Straﬂe;bus_stop;stop_position;Bus Stop
Cologne;254019089;node;1;51,0164356;6,8590723;Esch Friedhof;bus_stop;stop_position;Bus Stop
Cologne;1764710176;node;1;51,0168582;6,9037595;Herstattallee;bus_stop;platform;Bus Stop
Cologne;1764268820;node;1;51,016884;6,859343;Esch Friedhof;bus_stop;stop_position;Bus Stop
Cologne;2387126487;node;1;51,0169804;6,9553912;Fordwerke Nord;tram_stop;stop_position;Tram stop
Cologne;1764710177;node;1;51,0172685;6,902211;Herstattallee;bus_stop;platform;Bus Stop
Cologne;1730403489;node;1;51,017865;6,8347379;Sinnersdorfer M¸hle;bus_stop;platform;Bus Stop
Cologne;276471891;node;1;51,0180001;6,9554717;Fordwerke Nord;tram_stop;stop_position;Tram stop
Cologne;256874091;node;1;51,0181985;6,8809047;Friedhof Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1766034300;node;1;51,018457;6,917878;Seeberg;bus_stop;platform;Bus Stop
Cologne;2546741114;node;1;51,0185205;7,044531;Schlebusch;tram_stop;stop_position;Tram stop
Cologne;143467828;node;1;51,0185222;7,0444915;Schlebusch;tram_stop;stop_position;Tram stop
Cologne;255338587;node;1;51,0189448;7,0448405;Schlebusch Stadtbahn;bus_stop;stop_position;Bus Stop
Cologne;1764287087;node;1;51,0198844;6,8865605;Weilerweg;bus_stop;stop_position;Bus Stop
Cologne;313760431;node;1;51,0199576;6,8977986;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1730403456;node;1;51,0200345;6,897909;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1730403458;node;1;51,0200405;6,8976346;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1730403461;node;1;51,0201276;6,8977233;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1730403463;node;1;51,020143;6,8974172;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1730403467;node;1;51,0202259;6,8975272;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;313760432;node;1;51,0202302;6,8972246;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1764312975;node;1;51,0202481;6,8882953;F¸hlinger Weg;bus_stop;stop_position;Bus Stop
Cologne;669644169;node;1;51,020301;6,8978705;Chorweiler;tram_stop;stop_position;Tram stop
Cologne;1730403472;node;1;51,0203212;6,8973238;Chorweiler;bus_stop;stop_position;Bus Stop
Cologne;1764287083;node;1;51,0208693;6,8878396;F¸hlinger Weg;bus_stop;stop_position;Bus Stop
Cologne;1332048892;node;1;51,021006;6,8981612;Chorweiler;tram_stop;stop_position;Tram stop
Cologne;3863889283;node;1;51,021167;6,8980335;Kˆln-Chorweiler;halt;station;Train Station
Cologne;1764710184;node;1;51,0214357;6,8847012;Wezelostraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1764710191;node;1;51,0218559;6,8856288;Wezelostraﬂe;bus_stop;stop_position;Bus Stop
Cologne;256874084;node;1;51,0219727;6,8758237;Blockstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1765331206;node;1;51,0228636;6,8936047;Florenzer Straﬂe;bus_stop;stop_position;Bus Stop
Cologne;1765331207;node;1;51,0228954;6,8935394;Florenzer Straﬂe;bus_stop;stop_position;Bus Stop
Cologne;258584716;node;1;51,0233471;6,8823771;Weiler;bus_stop;stop_position;Bus Stop
Cologne;1324867339;node;1;51,0239796;6,9041113;Karl-Marx-Allee;bus_stop;stop_position;Bus Stop
Cologne;3265759112;node;1;51,0241646;6,9533681;Merkenich Mitte;tram_stop;stop_position;Tram stop
Cologne;257750524;node;1;51,0241759;6,9534122;Merkenich Mitte;tram_stop;stop_position;Tram stop
Cologne;31395618;node;1;51,0254621;6,9396469;Oranjehofstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1383503417;node;1;51,025606;6,889737;Moldaustraﬂe;bus_stop;;Bus Stop
Cologne;257743993;node;1;51,0256582;6,895305;Weichselring;bus_stop;stop_position;Bus Stop
Cologne;257743992;node;1;51,0257776;6,8953073;Weichselring;bus_stop;stop_position;Bus Stop
Cologne;63802353;node;1;51,0262314;6,8963201;Weichselring;bus_stop;stop_position;Bus Stop
Cologne;1765316063;node;1;51,0264979;6,9093752;Merianstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1764287086;node;1;51,0267145;6,8963146;Weichselring;bus_stop;stop_position;Bus Stop
Cologne;265639399;node;1;51,0267977;6,9283033;Rheinlandstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;259222042;node;1;51,0270137;6,888469;Havelstraﬂe;bus_stop;stop_position;Bus Stop
