"";"sensor_id";"sensor_type";"location";"lat";"lon";"timestamp";"P1";"P2";"P0"
"1";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:01:50;"4.75";"4.75";"3.25"
"2";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:06:53;"6.50";"6.00";"3.25"
"3";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:11:57;"5.60";"5.00";"3.40"
"4";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:17:01;"4.60";"4.60";"3.20"
"5";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:22:04;"5.40";"5.40";"3.40"
"6";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:27:13;"6.75";"6.00";"4.00"
"7";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:32:17;"5.50";"5.50";"4.25"
"8";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:37:21;"7.00";"5.75";"4.00"
"9";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:42:24;"6.75";"6.00";"3.75"
"10";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:47:28;"6.80";"5.80";"3.40"
"11";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:52:31;"5.00";"5.00";"3.25"
"12";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 00:57:35;"5.80";"5.80";"4.00"
"13";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:02:38;"7.00";"7.00";"4.00"
"14";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:07:42;"4.00";"4.00";"2.50"
"15";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:12:45;"5.00";"5.00";"3.00"
"16";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:17:49;"4.60";"4.40";"2.60"
"17";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:22:52;"5.50";"4.75";"2.75"
"18";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:27:56;"7.00";"6.00";"3.00"
"19";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:32:59;"7.00";"5.50";"3.75"
"20";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:38:03;"5.80";"5.80";"3.40"
"21";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:43:06;"4.00";"4.00";"3.00"
"22";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:48:10;"6.20";"4.80";"3.00"
"23";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:53:13;"4.75";"4.00";"3.50"
"24";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 01:58:17;"5.40";"5.00";"2.80"
"25";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:03:20;"6.50";"4.50";"2.75"
"26";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:08:24;"4.40";"4.40";"2.60"
"27";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:13:28;"5.00";"5.00";"3.50"
"28";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:18:31;"5.00";"4.50";"2.75"
"29";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:23:35;"4.75";"4.75";"2.50"
"30";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:28:38;"5.00";"5.00";"2.50"
"31";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:33:42;"6.00";"5.60";"2.60"
"32";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:38:45;"5.50";"5.00";"3.00"
"33";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:43:49;"4.25";"4.25";"2.75"
"34";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:48:52;"6.50";"4.00";"3.00"
"35";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:53:56;"3.00";"3.00";"1.50"
"36";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 02:59:04;"4.50";"4.00";"2.75"
"37";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:04:08;"4.80";"4.80";"3.00"
"38";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:09:11;"4.50";"4.50";"2.25"
"39";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:14:16;"4.50";"4.50";"2.75"
"40";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:19:19;"5.20";"5.20";"3.20"
"41";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:24:22;"6.25";"5.25";"3.25"
"42";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:29:26;"5.40";"4.20";"1.80"
"43";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:34:29;"3.75";"3.50";"2.00"
"44";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:39:33;"6.00";"4.75";"3.00"
"45";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:44:36;"4.25";"4.25";"3.00"
"46";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:49:40;"3.60";"3.60";"2.20"
"47";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:54:43;"4.00";"4.00";"2.00"
"48";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 03:59:47;"4.80";"4.80";"3.20"
"49";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:04:50;"6.00";"4.50";"3.00"
"50";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:09:54;"4.40";"4.40";"2.40"
