"";"avg_date";"avg_p1"
"160";2018-10-06 15:19:10;12,675
"161";2018-10-06 16:09:45;13,145
"162";2018-10-06 17:00:20;15,595
"163";2018-10-06 17:50:55;19,045
"164";2018-10-06 18:41:30;18,225
"165";2018-10-06 19:32:05;17,8
"166";2018-10-06 20:22:40;16,505
"167";2018-10-06 21:13:15;17,005
"168";2018-10-06 22:03:50;20,13
"169";2018-10-06 22:54:26;19,905
"170";2018-10-06 23:45:01;20,585
"171";2018-10-07 00:35:35;21,19
"172";2018-10-07 01:26:10;20,71
"173";2018-10-07 02:16:45;21,85
"174";2018-10-07 03:07:21;20,947
"175";2018-10-07 03:57:56;22,29
"176";2018-10-07 04:48:31;22
"177";2018-10-07 05:39:13;24,675
"178";2018-10-07 06:29:51;29,85
"179";2018-10-07 07:20:25;31,505
"180";2018-10-07 08:11:00;21,19
"181";2018-10-07 09:01:34;23,795
"182";2018-10-07 10:31:56;22,125
"183";2018-10-07 12:26:49;9,84
"184";2018-10-07 13:17:25;5,2
"185";2018-10-07 14:08:02;3,56
"186";2018-10-07 14:58:38;2,325
"187";2018-10-07 15:49:19;1,115
"188";2018-10-07 16:39:55;0,965
"189";2018-10-07 17:30:35;0,95
"190";2018-10-07 18:21:12;0,73
"191";2018-10-07 19:11:47;1,09
"192";2018-10-07 20:02:21;0,895
"193";2018-10-07 20:52:56;1,035
"194";2018-10-07 21:43:31;0,615
"195";2018-10-07 22:34:06;0,865
"196";2018-10-07 23:24:42;0,275
"197";2018-10-08 00:15:21;0,175
"198";2018-10-08 01:06:01;0,18
"199";2018-10-08 01:56:38;0
"200";2018-10-08 02:47:14;0,405
"201";2018-10-08 03:37:51;0,18
"202";2018-10-08 04:28:25;1,295
"203";2018-10-08 05:19:00;1,71
"204";2018-10-08 06:09:34;5,635
"205";2018-10-08 07:00:09;6,63
"206";2018-10-08 07:50:44;8,365
"207";2018-10-08 08:41:18;4,755
"208";2018-10-08 09:31:56;5,26
"209";2018-10-08 10:22:32;5,43
"210";2018-10-08 11:13:07;7,77
"211";2018-10-08 12:03:43;17,775
"212";2018-10-08 12:54:18;20,15
"213";2018-10-08 13:44:54;15,505
"214";2018-10-08 14:35:28;14,205
"215";2018-10-08 15:26:03;12,695
"216";2018-10-08 16:16:40;12,805
"217";2018-10-08 17:07:17;13,52
"218";2018-10-08 17:57:58;13,19
"219";2018-10-08 18:48:33;14,43
"220";2018-10-08 19:39:08;14,945
"221";2018-10-08 20:29:45;15,15
"222";2018-10-08 21:20:21;13,345
"223";2018-10-08 22:10:57;11,425
"224";2018-10-08 23:01:33;10,65
